"Reference","Qty","Value","Footprint","Datasheet"
"C1","1","680uF","Capacitor_SMD:CP_Elec_10x12.5","~"
"C2","1","1uF","Capacitor_SMD:C_1206_3216Metric","~"
"C3","1","220uF","Capacitor_SMD:CP_Elec_10x12.5","~"
"D1","1","RS3A","Diode_SMD:D_SMC","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/906/RS3A_B%7ERS3M_B.pdf"
"D2","1","SS34","Diode_SMD:D_SMC","https://www.vishay.com/docs/88751/ss32.pdf"
"D3","1","LED","LED_SMD:LED_0805_2012Metric","~"
"J1,J2","2","Screw_Terminal_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~"
"L1","1","33uH","Inductor_SMD:L_12x12mm_H8mm","https://www.lcsc.com/datasheet/C143226.pdf"
"R1","1","1k","Resistor_SMD:R_0805_2012Metric","~"
"U1","1","LM2596S-5","Package_TO_SOT_SMD:TO-263-5_TabPin3","http://www.ti.com/lit/ds/symlink/lm2596.pdf"
